uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,ssp,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo
NAT.CIG2011_1795,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,R,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1796,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1797,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1798,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1799,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1800,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1801,2011_URWAC,2011,4,9/16/11,URWA,PM,2,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,SYER,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1802,2011_URWAT,2011,4,9/16/11,URWA,PM,2,T,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,SYER,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1803,2011_URWAC,2011,4,9/16/11,URWA,PM,2,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1804,2011_URWAC,2011,4,9/16/11,URWA,PM,2,C,R,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1805,2011_URWAT,2011,4,9/16/11,URWA,PM,1,T,R,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1806,2011_URWAT,2011,4,9/16/11,URWA,PM,2,T,L,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1807,2011_URWAT,2011,4,9/18/11,URWA,PM,3,T,R,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1808,2011_URWAT,2011,4,9/18/11,URWA,PM,3,T,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1809,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,L,Halictus,ligatus,,m,Ascher,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1810,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,L,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1811,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1812,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1813,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,L,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1814,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,L,Halictus,ligatus,,m,Ascher,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1815,2011_URWAT,2011,4,9/18/11,URWA,AM,3,T,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1816,2011_URWAT,2011,4,9/18/11,URWA,AM,3,T,R,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1817,2011_URWAC,2011,4,9/18/11,URWA,AM,3,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1818,2011_URWAC,2011,4,9/18/11,URWA,AM,3,C,R,Xylocopa,virginica,,f,Ascher,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1819,2011_URWAC,2011,4,9/18/11,URWA,AM,3,C,R,Xylocopa,virginica,,f,Ascher,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1820,2011_URWAC,2011,4,9/18/11,URWA,AM,3,C,R,Xylocopa,virginica,,f,Ascher,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1821,2011_URWAC,2011,4,9/18/11,URWA,AM,3,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1822,2011_URWAC,2011,4,9/18/11,URWA,AM,3,C,L,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,SYER,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1823,2011_URWAT,2011,4,9/18/11,URWA,AM,3,T,L,Lasioglossum,versatum,,f,Gibbs,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,yes,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1824,2011_URWAC,2011,4,9/18/11,URWA,AM,3,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1825,2011_URWAC,2011,4,9/18/11,URWA,AM,3,C,L,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1826,2011_URWAC,2011,4,9/18/11,URWA,AM,3,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1827,2011_URWAC,2011,4,9/18/11,URWA,AM,3,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1828,2011_URWAC,2011,4,9/18/11,URWA,AM,3,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1829,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1830,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,R,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1831,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1832,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,R,Bombus,impatiens,,f,Ascher,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1833,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1834,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,R,Halictus,ligatus,,f,Ascher,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1835,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,R,Agapostemon,virescens,,f,Ascher,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1836,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1837,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,R,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1838,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1839,2011_URWAC,2011,4,9/18/11,URWA,PM,3,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_186,2011_URWAT,2011,1,6/3/11,URWA,AM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Erigeron,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_1868,2011_URWAT,2011,4,9/25/11,URWA,AM,4,T,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1869,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,L,Xylocopa,virginica,,f,Ascher,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_187,2011_URWAT,2011,1,6/3/11,URWA,AM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,LEVU,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_1870,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,L,Augochlora,pura,,f,Ascher,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1871,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1872,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1873,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1874,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1875,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1876,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1877,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,R,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1878,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1879,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_188,2011_URWAT,2011,1,6/3/11,URWA,AM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,LEVU,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_1880,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1881,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1882,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1883,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1884,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1885,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1886,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,L,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1887,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,L,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1888,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,L,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1889,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,L,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_189,2011_URWAT,2011,1,6/3/11,URWA,AM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,LEVU,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_1890,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1891,2011_URWAT,2011,4,9/25/11,URWA,AM,4,T,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,SYER,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1892,2011_URWAC,2011,4,9/25/11,URWA,PM,4,C,R,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,SYER,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1893,2011_URWAT,2011,4,9/25/11,URWA,PM,4,T,R,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1894,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1895,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1896,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1897,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1898,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1899,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,SYER,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_190,2011_URWAT,2011,1,6/3/11,URWA,AM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,LEVU,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_1900,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,SYER,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_1901,2011_URWAT,2011,4,9/25/11,URWA,AM,4,T,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,SYER,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1902,2011_URWAC,2011,4,9/25/11,URWA,AM,4,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,SYER,0,0,0,0,no,DPC,40.701794,-74.700673,,,,
NAT.CIG2011_191,2011_URWAT,2011,1,6/3/11,URWA,AM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,LEVU,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_192,2011_URWAT,2011,1,6/3/11,URWA,AM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,LEVU,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_193,2011_URWAT,2011,1,6/3/11,URWA,AM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,LEVU,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_194,2011_URWAT,2011,1,6/3/11,URWA,AM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,LEVU,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_195,2011_URWAT,2011,1,6/3/11,URWA,AM,1,T,,Bombus,griseocollis,,f,Ascher,,0000-00-00,bee,,LEVU,Leucanthemum,vulgare,Leucanthemum,vulgare,yes,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_196,2011_URWAT,2011,1,6/3/11,URWA,PM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Erigeron,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_197,2011_URWAT,2011,1,6/3/11,URWA,PM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Erigeron,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_198,2011_URWAT,2011,1,6/3/11,URWA,PM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Erigeron,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_199,2011_URWAT,2011,1,6/3/11,URWA,PM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Erigeron,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_200,2011_URWAT,2011,1,6/3/11,URWA,PM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Erigeron,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_201,2011_URWAT,2011,1,6/3/11,URWA,PM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Erigeron,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_202,2011_URWAT,2011,1,6/3/11,URWA,PM,1,T,,Andrena,imitatrix,,NULL,NULL,,0000-00-00,bee,,ERPH,Erigeron,philadelphicus,Erigeron,philadelphicus,no,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_203,2011_URWAT,2011,1,6/3/11,URWA,PM,1,T,,Lasioglossum,mitchelli,,f,Gibbs,,0000-00-00,bee,,PEDI,Penstemon,digitalis,Penstemon,digitalis,yes,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_204,2011_URWAT,2011,1,6/3/11,URWA,PM,1,T,,Lasioglossum,mitchelli,,f,Gibbs,,0000-00-00,bee,,PEDI,Penstemon,digitalis,Penstemon,digitalis,yes,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_205,2011_URWAT,2011,1,6/3/11,URWA,PM,1,T,,Hoplitis,pilosifrons,,f,Ascher,,0000-00-00,bee,,PEDI,Penstemon,digitalis,Penstemon,digitalis,yes,CLW,40.703892,-74.700793,,,,
NAT.CIG2011_206,2011_URWAT,2011,1,6/3/11,URWA,PM,1,T,,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,LEVU,0,0,0,0,no,CLW,40.703892,-74.700793,,,,
