"","sc","year","site","treatment","transect","round","uniqueID","genus","species","gs","plant_genus","plant_species"
"103","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1091","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"104","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1092","Halictus","confusus","Halictus_confusus","Cirsium","arvense"
"105","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1093","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"106","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1094","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"108","2011_CRC",2011,"CR","C","3","2","NAT.CIG2011_1096","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"109","2011_CRC",2011,"CR","C","3","2","NAT.CIG2011_1097","Lasioglossum","sp","Lasioglossum_sp","Cirsium","arvense"
"110","2011_CRC",2011,"CR","C","3","2","NAT.CIG2011_1098","Megachile","frugalis","Megachile_frugalis","Cirsium","arvense"
"112","2011_HPT",2011,"HP","T","2","1","NAT.CIG2011_110","Halictus","ligatus","Halictus_ligatus","Erigeron","philadelphicus"
"114","2011_CRC",2011,"CR","C","3","2","NAT.CIG2011_1101","Hylaeus","modestus","Hylaeus_modestus","Daucus","carota"
"117","2011_CRT",2011,"CR","T","4","2","NAT.CIG2011_1104","Lasioglossum","sp","Lasioglossum_sp","Bidens","sp"
"119","2011_CRC",2011,"CR","C","4","2","NAT.CIG2011_1106","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"120","2011_CRC",2011,"CR","C","4","2","NAT.CIG2011_1107","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Daucus","carota"
"121","2011_CRC",2011,"CR","C","4","2","NAT.CIG2011_1108","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Daucus","carota"
"122","2011_CRC",2011,"CR","C","4","2","NAT.CIG2011_1109","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Daucus","carota"
"123","2011_HPT",2011,"HP","T","2","1","NAT.CIG2011_111","Halictus","ligatus","Halictus_ligatus","Erigeron","philadelphicus"
"124","2011_CRC",2011,"CR","C","4","2","NAT.CIG2011_1110","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Daucus","carota"
"125","2011_CRC",2011,"CR","C","4","2","NAT.CIG2011_1111","Halictus","confusus","Halictus_confusus","Daucus","carota"
"126","2011_CRC",2011,"CR","C","4","2","NAT.CIG2011_1112","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Daucus","carota"
"129","2011_CRC",2011,"CR","C","1","2","NAT.CIG2011_1115","Lasioglossum","mitchelli","Lasioglossum_mitchelli","Plantago","lanceolata"
"131","2011_CRT",2011,"CR","T","2","2","NAT.CIG2011_1117","Ceratina","strenua","Ceratina_strenua","Erigeron","philadelphicus"
"132","2011_CRT",2011,"CR","T","2","2","NAT.CIG2011_1118","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Erigeron","philadelphicus"
"133","2011_CRT",2011,"CR","T","2","2","NAT.CIG2011_1119","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Erigeron","philadelphicus"
"134","2011_HPT",2011,"HP","T","2","1","NAT.CIG2011_112","Halictus","ligatus","Halictus_ligatus","Erigeron","philadelphicus"
"135","2011_CRT",2011,"CR","T","2","2","NAT.CIG2011_1120","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Erigeron","philadelphicus"
"137","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1122","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"138","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1123","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"139","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1124","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"140","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1125","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"141","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1126","Halictus","confusus","Halictus_confusus","Cirsium","arvense"
"142","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1127","Halictus","confusus","Halictus_confusus","Cirsium","arvense"
"143","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1128","Halictus","confusus","Halictus_confusus","Cirsium","arvense"
"145","2011_HPT",2011,"HP","T","2","1","NAT.CIG2011_113","Halictus","ligatus","Halictus_ligatus","Erigeron","philadelphicus"
"146","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1130","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"149","2011_CRC",2011,"CR","C","3","2","NAT.CIG2011_1133","Halictus","confusus","Halictus_confusus","Cirsium","arvense"
"153","2011_CRC",2011,"CR","C","4","2","NAT.CIG2011_1137","Halictus","confusus","Halictus_confusus","Daucus","carota"
"156","2011_HPT",2011,"HP","T","2","1","NAT.CIG2011_114","Halictus","ligatus","Halictus_ligatus","Erigeron","philadelphicus"
"158","2011_SCC",2011,"SC","C","1","2","NAT.CIG2011_1141","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","vulgare"
"159","2011_SCC",2011,"SC","C","1","2","NAT.CIG2011_1142","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","vulgare"
"160","2011_SCC",2011,"SC","C","1","2","NAT.CIG2011_1143","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","vulgare"
"161","2011_SCC",2011,"SC","C","1","2","NAT.CIG2011_1144","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","vulgare"
"162","2011_SCC",2011,"SC","C","1","2","NAT.CIG2011_1145","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","vulgare"
"163","2011_SCC",2011,"SC","C","1","2","NAT.CIG2011_1146","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","vulgare"
"166","2011_SCC",2011,"SC","C","1","2","NAT.CIG2011_1149","Agapostemon","virescens","Agapostemon_virescens","Cirsium","vulgare"
"167","2011_HPT",2011,"HP","T","2","1","NAT.CIG2011_115","Halictus","ligatus","Halictus_ligatus","Erigeron","philadelphicus"
"169","2011_SCC",2011,"SC","C","3","2","NAT.CIG2011_1151","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","vulgare"
"170","2011_SCC",2011,"SC","C","4","2","NAT.CIG2011_1152","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Prunella","vulgaris"
"173","2011_SCC",2011,"SC","C","1","2","NAT.CIG2011_1155","Agapostemon","virescens","Agapostemon_virescens","Cirsium","vulgare"
"174","2011_SCC",2011,"SC","C","1","2","NAT.CIG2011_1156","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","vulgare"
"175","2011_SCC",2011,"SC","C","1","2","NAT.CIG2011_1157","Melissodes","bimaculata","Melissodes_bimaculata","Cirsium","vulgare"
"178","2011_HPT",2011,"HP","T","2","1","NAT.CIG2011_116","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Erigeron","philadelphicus"
"181","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1162","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"183","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1164","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"184","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1165","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"185","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1166","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"186","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1167","Augochlorella","aurata","Augochlorella_aurata","Echinacea","purpurea"
"188","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1169","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"189","2011_HPT",2011,"HP","T","2","1","NAT.CIG2011_117","Ceratina","calcarata","Ceratina_calcarata","Erigeron","philadelphicus"
"190","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1170","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"191","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1171","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"192","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1172","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"193","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1173","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"194","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1174","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"195","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1175","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"197","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1177","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Erigeron","philadelphicus"
"198","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1178","Lasioglossum","imitatum","Lasioglossum_imitatum","Erigeron","philadelphicus"
"201","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1180","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"202","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1181","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"203","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1182","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"204","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1183","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"205","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1184","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"206","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1185","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"207","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1186","Melissodes","bimaculata","Melissodes_bimaculata","Clinopodium","vulgare"
"208","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1187","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"209","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1188","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"210","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1189","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"211","2011_HPT",2011,"HP","T","3","1","NAT.CIG2011_119","Ceratina","calcarata","Ceratina_calcarata","Dianthus","barbatus"
"212","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1190","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"214","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1192","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"215","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1193","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"216","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1194","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"220","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1198","Lasioglossum","imitatum","Lasioglossum_imitatum","Daucus","carota"
"221","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1199","Lasioglossum","imitatum","Lasioglossum_imitatum","Daucus","carota"
"222","2011_HPT",2011,"HP","T","3","1","NAT.CIG2011_120","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Dianthus","barbatus"
"223","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1200","Lasioglossum","imitatum","Lasioglossum_imitatum","Daucus","carota"
"224","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1201","Lasioglossum","imitatum","Lasioglossum_imitatum","Daucus","carota"
"225","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1202","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Daucus","carota"
"226","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1203","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"227","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1204","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"228","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1205","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"229","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1206","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"230","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1207","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"231","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1208","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"232","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1209","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"233","2011_HPT",2011,"HP","T","3","1","NAT.CIG2011_121","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Erigeron","philadelphicus"
"234","2011_HPT",2011,"HP","T","2","3","NAT.CIG2011_1210","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"235","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1211","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"236","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1212","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"237","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1213","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"238","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1214","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"243","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1219","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"244","2011_HPT",2011,"HP","T","3","1","NAT.CIG2011_122","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Erigeron","philadelphicus"
"245","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1220","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"246","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1221","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"247","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1222","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"248","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1223","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"249","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1224","Agapostemon","virescens","Agapostemon_virescens","Echinacea","purpurea"
"250","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1225","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"251","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1226","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"252","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1227","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"253","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1228","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"254","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1229","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"255","2011_HPT",2011,"HP","T","3","1","NAT.CIG2011_123","Halictus","ligatus","Halictus_ligatus","Erigeron","philadelphicus"
"256","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1230","Hylaeus","mesillae","Hylaeus_mesillae","Daucus","carota"
"257","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1231","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"258","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1232","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"259","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1233","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"260","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1234","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"261","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1235","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"262","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1236","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"263","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1237","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"264","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1238","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"265","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1239","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Erigeron","philadelphicus"
"266","2011_HPT",2011,"HP","T","3","1","NAT.CIG2011_124","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Erigeron","philadelphicus"
"267","2011_HPT",2011,"HP","T","3","3","NAT.CIG2011_1240","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Erigeron","philadelphicus"
"269","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1242","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"270","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1243","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"271","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1244","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"272","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1245","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"273","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1246","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"274","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1247","Augochlorella","aurata","Augochlorella_aurata","Clinopodium","vulgare"
"277","2011_HPT",2011,"HP","T","3","1","NAT.CIG2011_125","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Erigeron","philadelphicus"
"278","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1250","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"279","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1251","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"280","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1252","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"281","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1253","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"282","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1254","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"283","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1255","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"284","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1256","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"285","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1257","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"286","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1258","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"287","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1259","Bombus","impatiens","Bombus_impatiens","Echinacea","purpurea"
"288","2011_HPT",2011,"HP","T","4","1","NAT.CIG2011_126","Halictus","ligatus","Halictus_ligatus","Erigeron","philadelphicus"
"289","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1260","Bombus","griseocollis","Bombus_griseocollis","Echinacea","purpurea"
"291","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1262","Lasioglossum","imitatum","Lasioglossum_imitatum","Daucus","carota"
"292","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1263","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Daucus","carota"
"293","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1264","Bombus","impatiens","Bombus_impatiens","Gaillardia","pulchella"
"295","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1266","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"296","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1267","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"297","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1268","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"298","2011_HPT",2011,"HP","T","4","3","NAT.CIG2011_1269","Bombus","impatiens","Bombus_impatiens","Clinopodium","vulgare"
"299","2011_HPT",2011,"HP","T","4","1","NAT.CIG2011_127","Ceratina","calcarata","Ceratina_calcarata","Erigeron","philadelphicus"
"304","2011_HPC",2011,"HP","C","2","3","NAT.CIG2011_1274","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Melilotus","altissimus"
"305","2011_HPC",2011,"HP","C","2","3","NAT.CIG2011_1275","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Melilotus","altissimus"
"307","2011_HPC",2011,"HP","C","3","3","NAT.CIG2011_1277","Lasioglossum","versatum","Lasioglossum_versatum","Daucus","carota"
"308","2011_HPC",2011,"HP","C","3","3","NAT.CIG2011_1278","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Solidago","canadensis"
"309","2011_HPC",2011,"HP","C","3","3","NAT.CIG2011_1279","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Solidago","canadensis"
"310","2011_HPT",2011,"HP","T","4","1","NAT.CIG2011_128","Lasioglossum","pectorale","Lasioglossum_pectorale","Dianthus","barbatus"
"311","2011_HPC",2011,"HP","C","3","3","NAT.CIG2011_1280","Lasioglossum","imitatum","Lasioglossum_imitatum","Solidago","canadensis"
"312","2011_HPC",2011,"HP","C","3","3","NAT.CIG2011_1281","Halictus","ligatus","Halictus_ligatus","Solidago","canadensis"
"315","2011_HPC",2011,"HP","C","4","3","NAT.CIG2011_1284","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Melilotus","altissimus"
"316","2011_HPC",2011,"HP","C","4","3","NAT.CIG2011_1285","Hylaeus","mesillae","Hylaeus_mesillae","Solidago","canadensis"
"317","2011_HPC",2011,"HP","C","4","3","NAT.CIG2011_1286","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Melilotus","altissimus"
"318","2011_HPC",2011,"HP","C","4","3","NAT.CIG2011_1287","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Melilotus","altissimus"
"319","2011_HPC",2011,"HP","C","4","3","NAT.CIG2011_1288","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Melilotus","altissimus"
"320","2011_HPC",2011,"HP","C","4","3","NAT.CIG2011_1289","Hylaeus","mesillae","Hylaeus_mesillae","Solidago","canadensis"
"321","2011_HPT",2011,"HP","T","4","1","NAT.CIG2011_129","Ceratina","strenua","Ceratina_strenua","Dianthus","barbatus"
"322","2011_HPC",2011,"HP","C","4","3","NAT.CIG2011_1290","Hylaeus","mesillae","Hylaeus_mesillae","Solidago","canadensis"
"323","2011_HPC",2011,"HP","C","4","3","NAT.CIG2011_1291","Hylaeus","mesillae","Hylaeus_mesillae","Solidago","canadensis"
"324","2011_HPC",2011,"HP","C","4","3","NAT.CIG2011_1292","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Solidago","canadensis"
"325","2011_HPC",2011,"HP","C","4","3","NAT.CIG2011_1293","Halictus","ligatus","Halictus_ligatus","Solidago","canadensis"
"327","2011_HPT",2011,"HP","T","1","3","NAT.CIG2011_1295","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Clinopodium","vulgare"
