genus_species,gs,uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,ssp,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code.x,plant_genus_2013,plant_species_2013,plant_genus.x,plant_species.x,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,problem.,meanIT,meantongue,plant_code.y,depth,width,plant_genus.y,plant_species.y
Eupatorium_rotundifolium,Xylocopa_virginica,NAT.CIG2012_1351,2012_ABC,2012,4,8/30/12,AB,AM,2,C,L,Xylocopa,virginica,,f,J.Ascher,,0000-00-00,bee,NA,EURO4,Eupatorium,rotundifolium,Eupatorium,rotundifolium,no,JWB,39.772882,-74.772184,,1,,,,6.082,12.05213985,NA,NA,NA,NA,NA
Eupatorium_rotundifolium,Coelioxys_octodentata,NAT.CIG2012_0846,2012_MAC,2012,3,8/8/12,MA,AM,1,C,R,Coelioxys,octodentata,,m,J.Ascher,,0000-00-00,bee,NA,EURO4,Eupatorium,rotundifolium,Eupatorium,rotundifolium,no,GKN,39.264481,-74.719008,,1,,,,2.539142857,4.574474983,NA,NA,NA,NA,NA
Eupatorium_rotundifolium,Halictus_ligatus_poeyi,NAT.CIG2012_0861,2012_ABT,2012,4,8/30/12,AB,AM,2,T,L,Halictus,ligatus_poeyi,,f,J.Ascher,,0000-00-00,bee,NA,EURO4,Eupatorium,rotundifolium,Eupatorium,rotundifolium,yes,JWB,39.780504,-74.767308,,1,,,,1.700098312,2.296858078,NA,NA,NA,NA,NA
Eupatorium_rotundifolium,Lasioglossum_versatum,NAT.CIG2012_1161,2012_MAC,2012,3,8/8/12,MA,AM,4,C,R,Lasioglossum,versatum,,f,J.Gibbs,,0000-00-00,bee,NA,EURO4,Eupatorium,rotundifolium,Eupatorium,rotundifolium,no,BGJ,39.264481,-74.719008,,1,Check plant,,,1.27832,1.746839834,NA,NA,NA,NA,NA
Eutrochium_dubium,Bombus_impatiens,NAT.CIG2012_0370,2012_ALC,2012,4,8/29/12,AL,PM,4,C,L,Bombus,impatiens,,f,J.Ascher,,0000-00-00,bee,NA,EUDU,Eutrochium,dubium,Eutrochium,dubium,no,JWB,40.92378,-74.813615,,1,,,,4.930735632,9.853144515,NA,NA,NA,NA,NA
Galium_mollugo,Lasioglossum_coriaceum,NAT.CIG2012_1191,2012_ROC,2012,1,6/1/12,RO,PM,3,C,L,Lasioglossum,coriaceum,,,J.Gibbs,,0000-00-00,bee,NA,GAMO,Galium,mollugo,Galium,mollugo,no,GKN,40.885194,-75.013669,,NA,,,,1.915,2.574904425,NA,NA,NA,NA,NA
Hieracium_praealtum,Agapostemon_virescens,NAT.CIG2012_0009,2012_MAC,2012,1,6/14/12,MA,AM,3,C,R,Agapostemon,virescens,,f,J.Ascher,,0000-00-00,bee,NA,HIPR3,Hieracium,praealtum,Hieracium,praealtum,no,GKN,39.264481,-74.719008,,NA,,,,2.085285714,2.794332176,NA,NA,NA,NA,NA
Hieracium_praealtum,Agapostemon_virescens,NAT.CIG2012_0008,2012_MAC,2012,1,6/14/12,MA,AM,1,C,R,Agapostemon,virescens,,f,J.Ascher,,0000-00-00,bee,NA,HIPR3,Hieracium,praealtum,Hieracium,praealtum,no,BGJ,39.264481,-74.719008,,NA,,,,2.085285714,2.794332176,NA,NA,NA,NA,NA
Hieracium_praealtum,Lasioglossum_coreopsis,NAT.CIG2012_1106,2012_MAC,2012,2,6/28/12,MA,AM,4,C,L,Lasioglossum,coreopsis,,f,J.Gibbs,,0000-00-00,bee,NA,HIPR3,Hieracium,praealtum,Hieracium,praealtum,no,JWB,39.264481,-74.719008,,NA,,,,0.911375,1.262374791,NA,NA,NA,NA,NA
Hieracium_praealtum,Agapostemon_virescens,NAT.CIG2012_0010,2012_MAC,2012,1,6/14/12,MA,AM,2,C,L,Agapostemon,virescens,,f,J.Ascher,,0000-00-00,bee,NA,HIPR3,Hieracium,praealtum,Hieracium,praealtum,no,JWB,39.264481,-74.719008,,NA,,,,2.085285714,2.794332176,NA,NA,NA,NA,NA
Hieracium_praealtum,Lasioglossum_coreopsis,NAT.CIG2012_1102,2012_MAC,2012,1,6/14/12,MA,AM,1,C,R,Lasioglossum,coreopsis,,f,J.Gibbs,,0000-00-00,bee,NA,HIPR3,Hieracium,praealtum,Hieracium,praealtum,no,BGJ,39.264481,-74.719008,,NA,,,,0.911375,1.262374791,NA,NA,NA,NA,NA
Hieracium_praealtum,Lasioglossum_coreopsis,NAT.CIG2012_1105,2012_MAC,2012,2,6/28/12,MA,AM,2,C,L,Lasioglossum,coreopsis,,f,J.Gibbs,,0000-00-00,bee,NA,HIPR3,Hieracium,praealtum,Hieracium,praealtum,no,BGJ,39.264481,-74.719008,,NA,,,,0.911375,1.262374791,NA,NA,NA,NA,NA
Hieracium_praealtum,Augochlora_pura,NAT.CIG2012_0041,2012_MAC,2012,2,6/28/12,MA,AM,4,C,R,Augochlora,pura,,f,J.Ascher,,0000-00-00,bee,NA,HIPR3,Hieracium,praealtum,Hieracium,praealtum,no,JWB,39.264481,-74.719008,,NA,,,,1.64183871,2.22124446,NA,NA,NA,NA,NA
Hieracium_praealtum,Lasioglossum_coreopsis,NAT.CIG2012_1100,2012_ABT,2012,3,8/9/12,AB,AM,4,T,R,Lasioglossum,coreopsis,,f,J.Gibbs,,0000-00-00,bee,NA,HIPR3,Hieracium,praealtum,Hieracium,praealtum,no,DPC,39.780504,-74.767308,,NA,,,,0.911375,1.262374791,NA,NA,NA,NA,NA
Hieracium_praealtum,Halictus_ligatus_poeyi,NAT.CIG2012_0984,2012_MAC,2012,2,6/28/12,MA,AM,4,C,R,Halictus,ligatus_poeyi,,f,J.Ascher,,0000-00-00,bee,NA,HIPR3,Hieracium,praealtum,Hieracium,praealtum,no,JWB,39.264481,-74.719008,,NA,,,,1.700098312,2.296858078,NA,NA,NA,NA,NA
Ipomoea_hederacea,Halictus_ligatus_poeyi,NAT.CIG2012_0982,2012_DET,2012,4,8/31/12,DF,PM,2,T,L,Halictus,ligatus_poeyi,,f,J.Ascher,,0000-00-00,bee,NA,IPHE,Ipomoea,hederacea,Ipomoea,hederacea,no,GKN,39.9198,-74.790006,,NA,Morning glory,,,1.700098312,2.296858078,NA,NA,NA,NA,NA
Ipomoea_hederacea,Bombus_impatiens,NAT.CIG2012_0485,2012_DEC,2012,4,8/31/12,DF,AM,1,C,R,Bombus,impatiens,,f,J.Ascher,,0000-00-00,bee,NA,IPHE,Ipomoea,hederacea,Ipomoea,hederacea,no,GKN,39.919101,-74.790498,,NA,Morning glory,,,4.930735632,9.853144515,NA,NA,NA,NA,NA
Ipomoea_hederacea,Bombus_impatiens,NAT.CIG2012_0486,2012_DEC,2012,4,8/31/12,DF,AM,2,C,L,Bombus,impatiens,,f,J.Ascher,,0000-00-00,bee,NA,IPHE,Ipomoea,hederacea,Ipomoea,hederacea,no,GKN,39.919101,-74.790498,,NA,Morning glory,,,4.930735632,9.853144515,NA,NA,NA,NA,NA
Ipomoea_lacunosa,Ceratina_calcarata,NAT.CIG2012_0675,2012_DET,2012,4,8/31/12,DF,AM,4,T,R,Ceratina,calcarata,,m,J.Ascher,,0000-00-00,bee,NA,IPLA,Ipomoea,lacunosa,Ipomoea,lacunosa,no,BGJ,39.9198,-74.790006,,NA,,,,1.261979592,2.663114517,NA,NA,NA,NA,NA
Ipomoea_lacunosa,Bombus_impatiens,NAT.CIG2012_0489,2012_DEC,2012,4,8/31/12,DF,AM,3,C,L,Bombus,impatiens,,f,J.Ascher,,0000-00-00,bee,NA,IPLA,Ipomoea,lacunosa,Ipomoea,lacunosa,no,BGJ,39.919101,-74.790498,,NA,White Glory,,,4.930735632,9.853144515,NA,NA,NA,NA,NA
Ipomoea_lacunosa,Ceratina_calcarata_dupla_mikmaqi,NAT.CIG2012_0718,2012_DET,2012,4,8/31/12,DF,AM,4,T,R,Ceratina,calcarata_dupla_mikmaqi,,f,J.Ascher,,0000-00-00,bee,NA,IPLA,Ipomoea,lacunosa,Ipomoea,lacunosa,no,BGJ,39.9198,-74.790006,,NA,,,,1.433914286,3.010522431,NA,NA,NA,NA,NA
Ipomoea_lacunosa,Ceratina_calcarata_dupla_mikmaqi,NAT.CIG2012_0717,2012_DET,2012,4,8/31/12,DF,AM,4,T,R,Ceratina,calcarata_dupla_mikmaqi,,f,J.Ascher,,0000-00-00,bee,NA,IPLA,Ipomoea,lacunosa,Ipomoea,lacunosa,no,BGJ,39.9198,-74.790006,,NA,,,,1.433914286,3.010522431,NA,NA,NA,NA,NA
Ipomoea_lacunosa,Ceratina_calcarata,NAT.CIG2012_0676,2012_DET,2012,4,8/31/12,DF,AM,4,T,L,Ceratina,calcarata,,m,J.Ascher,,0000-00-00,bee,NA,IPLA,Ipomoea,lacunosa,Ipomoea,lacunosa,no,BGJ,39.9198,-74.790006,,NA,,,,1.261979592,2.663114517,NA,NA,NA,NA,NA
Ipomoea_lacunosa,Ceratina_calcarata_dupla_mikmaqi,NAT.CIG2012_0716,2012_DET,2012,4,8/31/12,DF,AM,4,T,R,Ceratina,calcarata_dupla_mikmaqi,,f,J.Ascher,,0000-00-00,bee,NA,IPLA,Ipomoea,lacunosa,Ipomoea,lacunosa,no,BGJ,39.9198,-74.790006,,NA,,,,1.433914286,3.010522431,NA,NA,NA,NA,NA
Ipomoea_lacunosa,Ceratina_calcarata,NAT.CIG2012_0674,2012_DET,2012,4,8/31/12,DF,AM,2,T,R,Ceratina,calcarata,,m,J.Ascher,,0000-00-00,bee,NA,IPLA,Ipomoea,lacunosa,Ipomoea,lacunosa,no,GKN,39.9198,-74.790006,,NA,,,,1.261979592,2.663114517,NA,NA,NA,NA,NA
Ipomoea_pandurata,Peponapis_pruinosa,NAT.CIG2012_1331,2012_ABC,2012,2,7/9/12,AB,AM,4,C,R,Peponapis,pruinosa,,f,J.Ascher,,0000-00-00,bee,NA,IPPA,Ipomoea,pandurata,Ipomoea,pandurata,no,DPC,39.772882,-74.772184,,NA,,,,3.510055556,7.110187184,NA,NA,NA,NA,NA
Lespedeza_cuneata,Megachile_mendica,NAT.CIG2012_1243,2012_BWC,2012,4,8/23/12,BW,PM,1,C,R,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,JWB,39.536493,-74.934855,,NA,,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Lespedeza_cuneata,Megachile_mendica,NAT.CIG2012_1229,2012_ABC,2012,4,8/30/12,AB,AM,2,C,L,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,JWB,39.772882,-74.772184,,NA,,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Lespedeza_cuneata,Megachile_mendica,NAT.CIG2012_1246,2012_BWC,2012,4,8/23/12,BW,PM,4,C,L,Megachile,mendica,,m,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,JWB,39.536493,-74.934855,,NA,,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Lespedeza_cuneata,Megachile_mendica,NAT.CIG2012_1231,2012_ABC,2012,4,8/30/12,AB,PM,1,C,R,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,BGJ,39.772882,-74.772184,,NA,,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Lespedeza_cuneata,Megachile_mendica,NAT.CIG2012_1233,2012_ABC,2012,4,8/30/12,AB,PM,1,C,L,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,BGJ,39.772882,-74.772184,,NA,,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Lespedeza_cuneata,Megachile_mendica,NAT.CIG2012_1228,2012_ABC,2012,4,8/30/12,AB,AM,1,C,L,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,BGJ,39.772882,-74.772184,,NA,,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Lespedeza_cuneata,Megachile_mendica,NAT.CIG2012_1230,2012_ABC,2012,4,8/30/12,AB,AM,2,C,L,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,JWB,39.772882,-74.772184,,NA,,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Lespedeza_cuneata,Megachile_mendica,NAT.CIG2012_1245,2012_BWC,2012,4,8/23/12,BW,AM,2,C,R,Megachile,mendica,,m,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,DPC,39.536493,-74.934855,,NA,,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Lespedeza_cuneata,Xylocopa_virginica,NAT.CIG2012_1352,2012_ABC,2012,4,8/30/12,AB,AM,4,C,R,Xylocopa,virginica,,f,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,BGJ,39.772882,-74.772184,,NA,,,,6.082,12.05213985,NA,NA,NA,NA,NA
Lespedeza_cuneata,Megachile_mendica,NAT.CIG2012_1247,2012_BWC,2012,4,8/23/12,BW,PM,3,C,L,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,BGJ,39.536493,-74.934855,,NA,,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Lespedeza_cuneata,Megachile_mendica,NAT.CIG2012_1232,2012_ABC,2012,4,8/30/12,AB,AM,2,C,R,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,JWB,39.772882,-74.772184,,NA,,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Lespedeza_cuneata,Lasioglossum_trigeminum,NAT.CIG2012_1207,2012_BWC,2012,4,8/23/12,BW,PM,2,C,L,Lasioglossum,trigeminum,,f,J.Gibbs,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,DPC,39.536493,-74.934855,,NA,,,,1.193833333,1.635855879,NA,NA,NA,NA,NA
Lespedeza_cuneata,Megachile_mendica,NAT.CIG2012_1244,2012_BWC,2012,4,8/23/12,BW,PM,2,C,L,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,LECU,Lespedeza,cuneata,Lespedeza,cuneata,no,DPC,39.536493,-74.934855,,NA,,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Lespedeza_hirta,Xylocopa_virginica,NAT.CIG2012_1353,2012_ABC,2012,4,8/30/12,AB,PM,2,C,L,Xylocopa,virginica,,f,J.Ascher,,0000-00-00,bee,NA,LEHI2,lespedeza,hirta,Lespedeza,hirta,no,JWB,39.772882,-74.772184,,1,,,,6.082,12.05213985,NA,NA,NA,NA,NA
Lobelia_siphilitica,Bombus_impatiens,NAT.CIG2012_0446,2012_ALT,2012,4,8/29/12,AL,AM,2,T,L,Bombus,impatiens,,f,J.Ascher,,0000-00-00,bee,NA,LOSI,Lobelia,siphilitica,Lobelia,siphilitica,yes,JWB,40.926863,-74.813052,,1,,,,4.930735632,9.853144515,NA,NA,NA,NA,NA
Lobelia_siphilitica,Bombus_impatiens,NAT.CIG2012_0371,2012_ALT,2012,4,8/29/12,AL,AM,3,T,L,Bombus,impatiens,,f,J.Ascher,,0000-00-00,bee,NA,LOSI,Lobelia,siphilitica,Lobelia,siphilitica,yes,BGJ,40.926863,-74.813052,,1,ECVU_maybe,,,4.930735632,9.853144515,NA,NA,NA,NA,NA
Mimulus_ringens,Ceratina_strenua,NAT.CIG2012_0781,2012_ALC,2012,3,7/27/12,AL,AM,4,C,R,Ceratina,strenua,,f,J.Ascher,,0000-00-00,bee,NA,MIRI,Mimulus,ringens,Mimulus,ringens,no,GKN,40.92378,-74.813615,,NA,,,,0.98225,2.093691835,NA,NA,NA,NA,NA
Mimulus_ringens,Lasioglossum_ephialtum,NAT.CIG2012_1113,2012_ALC,2012,3,7/27/12,AL,AM,1,C,L,Lasioglossum,ephialtum,,m,J.Gibbs,,0000-00-00,bee,NA,MIRI,Mimulus,ringens,Mimulus,ringens,no,GKN,40.92378,-74.813615,,NA,,,,1.23122738,1.685015191,NA,NA,NA,NA,NA
Mimulus_ringens,Bombus_impatiens,NAT.CIG2012_0387,2012_ALC,2012,3,7/27/12,AL,AM,2,C,R,Bombus,impatiens,,f,J.Ascher,,0000-00-00,bee,NA,MIRI,Mimulus,ringens,Mimulus,ringens,no,DPC,40.92378,-74.813615,,NA,,,,4.930735632,9.853144515,NA,NA,NA,NA,NA
Pyrrhopappus_carolinianus,Lasioglossum_coreopsis,NAT.CIG2012_1109,2012_MAC,2012,4,8/22/12,MA,AM,4,C,R,Lasioglossum,coreopsis,,f,J.Gibbs,,0000-00-00,bee,NA,0,unknown,unknown,Pyrrhopappus,carolinianus,no,BGJ,39.264481,-74.719008,,1,unknown plant,,,0.911375,1.262374791,NA,NA,NA,NA,NA
Sisyrinchium_angustifolium,Lasioglossum_coreopsis,NAT.CIG2012_1103,2012_MAC,2012,1,6/14/12,MA,AM,4,C,L,Lasioglossum,coreopsis,,f,J.Gibbs,,0000-00-00,bee,NA,SIAN3,Sisyrinchium,angustifolium,Sisyrinchium,angustifolium,no,DPC,39.264481,-74.719008,,NA,,,,0.911375,1.262374791,NA,NA,NA,NA,NA
Strophostyles_helvola,Megachile_mendica,NAT.CIG2012_1237,2012_ABT,2012,4,8/30/12,AB,PM,2,T,R,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,STHE9,Strophostyles,helvola,Strophostyles,helvola,no,JWB,39.780504,-74.767308,,1,Strophostyles_plant_genus,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Strophostyles_helvola,Megachile_mendica,NAT.CIG2012_1236,2012_ABT,2012,4,8/30/12,AB,PM,3,T,L,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,STHE9,Strophostyles,helvola,Strophostyles,helvola,no,JWB,39.780504,-74.767308,,1,Strophostyles_plant_genus,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Strophostyles_helvola,Megachile_mendica,NAT.CIG2012_1238,2012_ABT,2012,4,8/30/12,AB,AM,3,T,L,Megachile,mendica,,f,J.Ascher,,0000-00-00,bee,NA,STHE9,Strophostyles,helvola,Strophostyles,helvola,no,JWB,39.780504,-74.767308,,1,Strophostyles_plant_genus,,,2.838424242,5.090914714,NA,NA,NA,NA,NA
Strophostyles_umbellata,Trachusa_dorsalis,NAT.CIG2012_1346,2012_MAC,2012,4,8/22/12,MA,PM,4,C,L,Trachusa,dorsalis,,f,J.Ascher,,0000-00-00,bee,NA,STUM2,Strophostyles,umbellata,Strophostyles,umbellata,no,BGJ,39.264481,-74.719008,At_AMNH,1,,,,3.649571429,6.480280426,NA,NA,NA,NA,NA
Strophostyles_umbellata,Trachusa_dorsalis,NAT.CIG2012_1348,2012_MAT,2012,4,8/22/12,MA,AM,1,T,R,Trachusa,dorsalis,,m,J.Ascher,,0000-00-00,bee,NA,STUM2,Strophostyles,umbellata,Strophostyles,umbellata,no,DPC,39.263113,-74.719499,At_AMNH,1,,,,3.649571429,6.480280426,NA,NA,NA,NA,NA
Strophostyles_umbellata,Trachusa_dorsalis,NAT.CIG2012_1349,2012_MAT,2012,4,8/22/12,MA,AM,1,T,R,Trachusa,dorsalis,,,J.Ascher,,0000-00-00,bee,NA,STUM2,Strophostyles,umbellata,Strophostyles,umbellata,no,DPC,39.263113,-74.719499,,1,Pink_purple pea,,,3.649571429,6.480280426,NA,NA,NA,NA,NA
Strophostyles_umbellata,Trachusa_dorsalis,NAT.CIG2012_1345,2012_MAC,2012,4,8/22/12,MA,AM,2,C,R,Trachusa,dorsalis,,f,J.Ascher,,0000-00-00,bee,NA,STUM2,Strophostyles,umbellata,Strophostyles,umbellata,no,JWB,39.264481,-74.719008,,1,Large pink pea,,,3.649571429,6.480280426,NA,NA,NA,NA,NA
Strophostyles_umbellata,Trachusa_dorsalis,NAT.CIG2012_1343,2012_MAC,2012,3,8/8/12,MA,AM,1,C,L,Trachusa,dorsalis,,f,J.Ascher,,0000-00-00,bee,NA,STUM2,Strophostyles,umbellata,Strophostyles,umbellata,no,GKN,39.264481,-74.719008,,1,,,,3.649571429,6.480280426,NA,NA,NA,NA,NA
Strophostyles_umbellata,Lasioglossum_coreopsis,NAT.CIG2012_1188,2012_MAC,2012,3,8/8/12,MA,AM,2,C,L,Lasioglossum,coreopsis,,f,J.Gibbs,,0000-00-00,bee,NA,STUM2,Strophostyles,umbellata,Strophostyles,umbellata,no,BGJ,39.264481,-74.719008,,1,,,,0.911375,1.262374791,NA,NA,NA,NA,NA
