site,observer,collection_date,plant_genus,plant_species,individual_plant,inf_number,flower_number,c_width_1_px,c_width_2_px,c_depth1_px,c_depth2_px,c_depth3_px,width,c_width_2_mm,depth,c_depth2_mm,c_depth_3_mm,magnification,flower_type,photo_reference,plant_code,live,notes,**make sure all measurement photos are saved in jp2 format
NENE,,30-Jun,Leucanthemum,vulgare,a,1,2,207.29,,370,527.81,374.96,0.706093544,,1.260333886,1.79788332,,1,disc,,LEVU_d,,,
NENE,,30-Jun,Leucanthemum,vulgare,a,1,3,229.3,,471.99,454.4,433.44,0.781066379,,1.607743219,1.547826265,,1,disc,,LEVU_d,,,
NENE,,30-Jun,Leucanthemum,vulgare,a,1,4,238.32,,452.92,488.54,358.19,0.811791275,,1.542784929,1.664117613,,1,disc,,LEVU_d,,,
NENE,,30-Jun,Leucanthemum,vulgare,a,1,5,228.96,,411.16,621.43,368.51,0.779908234,,1.400537515,2.116781857,,1,disc,,LEVU_d,,,
NENE,,30-Jun,Leucanthemum,vulgare,b,2,1,323.22,,454.06,622.39,652.35,1.100986807,,1.54666812,2.120051912,,1,disc,,LEVU_d,,,
NENE,,30-Jun,Leucanthemum,vulgare,b,2,2,403.6,,481.02,688.06,534.96,1.374785828,,1.638502178,2.343744145,,1,disc,,LEVU_d,,,
NENE,,30-Jun,Leucanthemum,vulgare,b,2,3,398.85,,501.48,669.32,523.38,1.358605866,,1.708195236,2.279909937,,1,disc,,LEVU_d,,,
NENE,,30-Jun,Leucanthemum,vulgare,b,2,4,385.39,,641.98,483.98,632.31,1.312756963,,2.186781482,1.648584849,,1,disc,,LEVU_d,,,
NENE,,30-Jun,Leucanthemum,vulgare,b,2,5,265.57,,356.86,704.27,685.55,0.904613163,,1.215575002,2.398960395,,1,disc,,LEVU_d,,,
NENE,,30-Jun,Trifolium,campestre,,1,1,181.71,,961.22,,,0.61896019,,3.274211184,0,,1,pea,,TRCA5,,,
NENE,,30-Jun,Trifolium,campestre,,1,2,175.38,,918.95,,,0.597398262,,3.130226554,0,,1,pea,,TRCA5,,,
NENE,,30-Jun,Trifolium,campestre,,1,3,219.32,,1016.09,,,0.747071427,,3.461115293,0,,1,pea,,TRCA5,,,
NENE,,30-Jun,Trifolium,campestre,,1,4,194.62,,984.12,,,0.662935624,,3.352215633,0,,1,pea,,TRCA5,,,
NENE,,30-Jun,Trifolium,campestre,,1,5,209.32,,878.42,,,0.713008349,,2.992168898,0,,1,pea,,TRCA5,,,
NENE,,30-Jun,Trifolium,campestre,,2,1,222.14,,924.24,,,0.756677215,,3.148245922,0,,1,pea,,TRCA5,,,
NENE,,30-Jun,Trifolium,campestre,,2,2,250.86,,872.98,,,0.854506375,,2.973638584,0,,1,pea,,TRCA5,,,
NENE,,30-Jun,Trifolium,campestre,,2,3,240.83,,816.75,,,0.820341108,,2.782101896,0,,1,pea,,TRCA5,,,
NENE,,30-Jun,Trifolium,campestre,,2,4,220.99,,933.92,,,0.752759961,,3.181218981,0,,1,pea,,TRCA5,,,
NENE,,30-Jun,Trifolium,campestre,,2,5,188.31,,793.1,,,0.641441822,,2.701542717,0,,1,pea,,TRCA5,,,
HP,ES,6-Jul,Cichorium,intybus,a,1,1,250.52,,598.79,,,0.85334823,,2.039663048,0,,1,ray,,CIIN_r,,,
HP,ES,6-Jul,Cichorium,intybus,a,1,2,249.9,,684.47,,,0.851236319,,2.3315155,0,,1,ray,,CIIN_r,,,
HP,ES,6-Jul,Cichorium,intybus,a,1,3,269.29,,656.25,,,0.917284628,,2.235389494,0,,1,ray,,CIIN_r,,,
HP,ES,6-Jul,Cichorium,intybus,a,1,4,251.21,,712.44,,,0.855698583,,2.42678993,0,,1,ray,,CIIN_r,,,
HP,ES,6-Jul,Cichorium,intybus,a,1,5,226.44,,530.52,,,0.771324338,,1.807114414,0,,1,ray,,CIIN_r,,,
HP,ES,6-Jul,Cichorium,intybus,a,2,1,274.2,,857.79,,,0.934009599,,2.921896768,0,,1,ray,,CIIN_r,,,
HP,ES,6-Jul,Cichorium,intybus,a,2,2,269.3,,828.41,,,0.917318691,,2.821819445,0,,1,ray,,CIIN_r,,,
HP,ES,6-Jul,Cichorium,intybus,a,2,3,286.43,,720.11,,,0.975668743,,2.45291631,0,,1,ray,,CIIN_r,,,
HP,ES,6-Jul,Cichorium,intybus,a,2,4,273.54,,532.34,,,0.931761436,,1.813313895,0,,1,ray,,CIIN_r,,,
HP,ES,6-Jul,Cichorium,intybus,a,2,5,266.94,,697.12,,,0.909279804,,2.374605294,0,,1,ray,,CIIN_r,,,
HP,RT,6-Jul,Erigeron,annuus,a,1,3,287.41,,1061.38,,,0.489503463,,1.807693487,,,2,disc,,ERAN_d,,,
HP,RT,6-Jul,Erigeron,annuus,a,1,4,379.7,,1562.31,,,0.431125024,,1.773902913,,,3,disc,,ERAN_d,,,
HP,RT,6-Jul,Erigeron,annuus,a,2,3,282.6,,1409.09,,,0.481311292,,2.39989713,,,2,disc,,ERAN_d,,,
HP,RT,6-Jul,Erigeron,annuus,a,2,4,260.19,,1034.09,,,0.443143613,,1.761214417,,,2,disc,,ERAN_d,,,
HP,RT,6-Jul,Erigeron,annuus,b,1,3,289.15,,1423.39,,,0.49246695,,2.42425223,,,2,disc,,ERAN_d,,,
HP,RT,6-Jul,Erigeron,annuus,b,1,4,315.15,,1447.89,,,0.536748952,,2.465979501,,,2,disc,,ERAN_d,,,
HP,RT,6-Jul,Erigeron,annuus,b,2,3,241.87,,1211.84,,,0.411941834,,2.063950023,,,2,disc,,ERAN_d,,,
HP,RT,6-Jul,Erigeron,annuus,b,2,4,252.73,,1138.4,,,0.430438085,,1.9388704,,,2,disc,,ERAN_d,,,
HP,RT,6-Jul,Erigeron,annuus,c,1,3,272.95,,1260.94,,,0.464875857,,2.147574879,,,2,disc,,ERAN_d,,,
HP,RT,6-Jul,Erigeron,annuus,c,1,4,286.9,,1162.59,,,0.488634854,,1.980069693,,,2,disc,,ERAN_d,,,
HP,RT,6-Jul,Erigeron,annuus,c,2,3,287.99,,1021.49,,,0.490491292,,1.739754678,,,2,disc,ERAN_c2_3and4,ERAN_d,these were really good examples of what kinds of flowers to measure,,
HP,RT,6-Jul,Erigeron,annuus,c,2,4,283,,985.78,,,0.481992554,,1.678935052,,,2,disc,,ERAN_d,,,
HS,JZ,7-Jul,Ascelpias,syriaca,a,1,1,562.88,,624.66,,,1.917342535,,2.127784231,,,1,corona,ASSY_a_1_1,ASSY,,,
HS,JZ,7-Jul,Ascelpias,syriaca,a,1,2,600.96,,662.53,,,2.047054736,,2.256781107,,,1,corona,,ASSY,,,
HS,JZ,7-Jul,Ascelpias,syriaca,a,2,1,576.19,,562.33,,,1.962680492,,1.915469066,,,1,corona,,ASSY,,,
HS,JZ,7-Jul,Ascelpias,syriaca,a,2,2,607.42,,557.28,,,2.069059484,,1.898267211,,,1,corona,,ASSY,,,
HS,JZ,7-Jul,Ascelpias,syriaca,b,1,1,658.63,,683.63,,,2.243496507,,2.328654202,,,1,corona,,ASSY,,,
HS,JZ,7-Jul,Ascelpias,syriaca,b,1,2,672.37,,684.71,,,2.290299176,,2.332333014,,,1,corona,ASSY_b1_2,ASSY,,,
HS,JZ,7-Jul,Ascelpias,syriaca,b,2,1,650.6,,634.06,,,2.216143855,,2.159803524,,,1,corona,,ASSY,,,
HS,JZ,7-Jul,Ascelpias,syriaca,b,2,2,641.4,,640.42,,,2.184805823,,2.181467642,,,1,corona,,ASSY,,,
HS,JZ,7-Jul,Ascelpias,syriaca,c,1,1,666.62,,699.65,,,2.270712906,,2.383223253,,,1,corona,,ASSY,,,
HS,JZ,7-Jul,Ascelpias,syriaca,c,1,2,686.75,,665.06,,,2.339281882,,2.265399066,,,1,corona,,ASSY,,,
HS,JZ,7-Jul,Ascelpias,syriaca,c,2,1,682.69,,715.48,,,2.325452273,,2.437145105,,,1,corona,,ASSY,,,
HS,JZ,7-Jul,Ascelpias,syriaca,c,2,2,654.46,,657.21,,,2.229292203,,2.23865955,,,1,corona,,ASSY,,,
SS,JZ,7-Jul,Ascelpias,syriaca,d,1,1,660.92,,636.81,,,2.251296952,,2.169170871,,,1,corona,,ASSY,,,
SS,JZ,7-Jul,Ascelpias,syriaca,d,1,2,670.2,,674.07,,,2.282907488,,2.296089899,,,1,corona,,ASSY,,,
SS,JZ,7-Jul,Ascelpias,syriaca,d,2,1,691.05,,674.08,,,2.353929006,,2.296123962,,,1,corona,,ASSY,,,
SS,JZ,7-Jul,Ascelpias,syriaca,d,2,2,683.21,,647.14,,,2.327223553,,2.20435803,,,1,corona,,ASSY,,,
SS,ES,7-Jul,Apocynum,cannabinum,a,1,1,625.34,,744.69,,,2.13010052,,2.536643356,,,1,corona,APCA_a_1_1,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,a,1,2,655.23,,778.4,,,2.23191506,,2.651469992,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,a,1,3,702.03,,814.58,,,2.391330265,,2.774710208,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,a,2,1,628.88,,964.51,,,2.14215885,,3.285417937,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,a,2,2,664.97,,786.24,,,2.265092498,,2.678175445,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,a,2,3,734.02,,747.89,,,2.500298052,,2.547543541,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,b,1,1,658.78,,882.4,,,2.244007453,,3.005726003,,,1,corona,APCA_b_1_1,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,b,1,2,650.8,,821.93,,,2.216825117,,2.799746571,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,b,1,3,520.75,,898.93,,,1.773834787,,3.062032271,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,b,2,1,649.68,,927.89,,,2.213010052,,3.160678945,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,b,2,2,642.8,,859.01,,,2.189574654,,2.926052464,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,b,2,3,653.11,,837.48,,,2.224693688,,2.852714657,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,c,1,1,589.31,,832.44,,,2.00737125,,2.835546866,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,c,1,2,612.44,,599.54,,,2.08615915,,2.042217779,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,c,1,3,627.1,,801.75,,,2.136095622,,2.731007279,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,c,2,1,688.43,,970.99,,,2.345004479,,3.307490811,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,c,2,2,568.53,,747.61,,,1.936588174,,2.546589775,,,1,corona,,APCA,,,
SS,ES,7-Jul,Apocynum,cannabinum,c,2,3,680.75,,788.92,,,2.318844035,,2.68730435,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,d,1,1,660.06,,924.65,,,2.248367527,,3.149642508,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,d,1,2,651.17,,857.48,,,2.218085451,,2.920840813,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,d,1,3,624.91,,1096.25,,,2.128635808,,3.734164927,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,d,2,1,683.38,,993.28,,,2.327802625,,3.383417412,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,d,2,2,710.64,,881.21,,,2.420658576,,3.001672497,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,d,2,3,704.98,,924.97,,,2.401378873,,3.150732526,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,e,1,1,450.02,,869.68,,,1.532906637,,2.962397768,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,e,1,2,565.04,,991.81,,,1.92470016,,3.37841014,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,e,1,3,640.1,,768.03,,,2.180377623,,2.61614658,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,e,2,1,290.63,,441.86,,,0.989975236,,1.505111165,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,e,2,2,595.26,,696.56,,,2.027638781,,2.372697762,,,1,corona,,APCA,,,
SS,ES,8-Jul,Apocynum,cannabinum,e,2,3,708.42,,786.47,,,2.413096572,,2.678958896,,,1,corona,,APCA,,,
NENE,ES,8-Jul,Ascelpias,tuberosa,a,1,1,483.94,,577.53,,,1.648448597,,1.967244944,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,a,1,2,494.26,,540.53,,,1.683601694,,1.841211556,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,a,2,1,478.08,,564.96,,,1.628487633,,1.924427655,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,a,2,2,461.55,,570.51,,,1.572181365,,1.943332663,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,b,1,1,544.86,,537.64,,,1.855960868,,1.831367326,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,b,1,2,571.29,,571.26,,,1.945989584,,1.945887394,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,b,2,1,551.71,,588.59,,,1.879294077,,2.004918708,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,b,2,2,555.26,,539.03,,,1.891386469,,1.836102094,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,c,1,1,490.8,,546.74,,,1.671815869,,1.862364727,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,c,1,2,471.47,,548.97,,,1.605971939,,1.869960793,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,c,2,1,482.99,,577.84,,,1.645212605,,1.9683009,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,c,2,2,480.1,,560.48,,,1.635368375,,1.909167396,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,d,1,1,473.57,,487.49,,,1.613125185,,1.66054099,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,d,1,2,535.83,,494.47,,,1.825201909,,1.684317018,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,d,2,1,358.03,,486.08,,,1.219560382,,1.655738096,,,1,corona,,ASTU,,this was a really small flower,
NENE,RT,8-Jul,Ascelpias,tuberosa,d,2,2,524.52,,526.37,,,1.786676568,,1.792978237,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,e,1,1,690.05,,578.68,,,2.350522698,,1.971162198,,,1,corona,,ASTU,,large flower,
NENE,RT,8-Jul,Ascelpias,tuberosa,e,1,2,672.73,,588.9,,,2.291525447,,2.005974664,,,1,corona,,ASTU,,large flower,
NENE,RT,8-Jul,Ascelpias,tuberosa,e,2,1,672.76,,538.13,,,2.291627636,,1.833036417,,,1,corona,,ASTU,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,e,2,2,669.24,,563.58,,,2.279637433,,1.91972695,,,1,corona,,ASTU,,,
SS,RT,9-Jul,Trifolium,pratense,a,1,1,213.59,,(measured with calipers),,,0.727553283,,10.19,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,a,1,2,240.78,,(measured with calipers),,,0.820170792,,10.45,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,a,1,3,259.04,,(measured with calipers),,,0.882369973,,10.79,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,a,1,4,249.22,,(measured with calipers),,,0.84892003,,9.49,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,a,2,1,253.27,,(measured with calipers),,,0.862715577,,10.1,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,a,2,2,240.96,,(measured with calipers),,,0.820783928,,10.73,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,a,2,3,278.04,,(measured with calipers),,,0.947089821,,9.89,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,a,2,4,235,,(measured with calipers),,,0.800482333,,9.13,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,b,1,1,202.36,,(measured with calipers),,,0.689300447,,7.59,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,b,1,2,220.52,,(measured with calipers),,,0.751158996,,9.65,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,b,1,3,249.85,,2368.84,,,0.851066004,,8.068998171,,,1,pea,,TRPR2,,*got depth of 7.86 with calipers,
SS,RT,9-Jul,Trifolium,pratense,b,1,4,234.6,,2975.94,,,0.79911981,,10.13696764,,,1,pea,,TRPR2,,*got depth of 9.55 with calipers,
SS,RT,9-Jul,Trifolium,pratense,b,2,1,250.85,,2248.02,,,0.854472312,,7.657448062,,,1,pea,,TRPR2,,*got depth of 7.17 with calipers,
SS,RT,9-Jul,Trifolium,pratense,b,2,2,242.44,,(measured with calipers),,,0.825825263,,10.17,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,c,1,1,260.89,,(measured with calipers),,,0.888671642,,10.28,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,c,1,2,285.45,,(measured with calipers),,,0.972330562,,10.28,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,d,1,1,285.7,,(measured with calipers),,,0.973182139,,10.89,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,d,1,2,292.23,,(measured with calipers),,,0.995425329,,10.74,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,e,1,1,267.67,,(measured with calipers),,,0.911766409,,9.97,,,1,pea,,TRPR2,,,
SS,RT,9-Jul,Trifolium,pratense,e,1,2,208.46,,(measured with calipers),,,0.710078924,,10.06,,,1,pea,,TRPR2,,,
NENE,RT,9-Jul,Echinacea ,purpurea,a,1,1,319.79,,1383.61,,,1.089303172,,4.713001536,,,1,disc,,ECPU_d,,,
NENE,RT,9-Jul,Echinacea ,purpurea,a,1,3,364.03,,1370.09,,,1.239998229,,4.666948255,,,1,disc,,ECPU_d,,,
NENE,RT,9-Jul,Echinacea ,purpurea,b,1,1,353.75,,1168.15,,,1.204981385,,3.979078457,,,1,disc,,ECPU_d,,,
NENE,RT,9-Jul,Echinacea ,purpurea,b,1,2,350.58,,1197,,,1.194183389,,4.077350438,,,1,disc,,ECPU_d,,,
NENE,RT,9-Jul,Echinacea ,purpurea,c,1,1,369.58,,1174.97,,,1.258903237,,4.002309477,,,1,disc,,ECPU_d,,,
NENE,RT,9-Jul,Echinacea ,purpurea,c,1,2,422.02,,1164,,,1.437530018,,3.96494228,,,1,disc,,ECPU_d,,,
NENE,RT,9-Jul,Echinacea ,purpurea,d,1,1,330.22,,1493.16,,,1.124830962,,5.086162556,,,1,disc,,ECPU_d,,,
NENE,RT,9-Jul,Echinacea ,purpurea,d,1,2,391.45,,1946.42,,,1.333399189,,6.63010563,,,1,disc,,ECPU_d,,,
NENE,RT,9-Jul,Echinacea ,purpurea,e,1,1,404,,1337.6,,,1.376148352,,4.556277314,,,1,disc,,ECPU_d,,,
NENE,RT,9-Jul,Echinacea ,purpurea,e,1,2,451.6,,1371.67,,,1.538288603,,4.672330221,,,1,disc,,ECPU_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,a,1,1,224.08,,1210.58,,,0.763285452,,4.123608097,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,a,1,2,245.14,,1224.44,,,0.835022294,,4.170819524,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,a,1,3,269.29,,1212.88,,,0.917284628,,4.131442605,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,b,1,1,229.52,,1413.05,,,0.781815766,,4.813283238,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,b,1,2,342.29,,1393.29,,,1.165945097,,4.745974596,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,b,1,3,345.41,,1419.36,,,1.176572777,,4.83477704,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,c,1,1,282.35,,1189.03,,,0.961771008,,4.050202164,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,c,1,2,314.99,,1161.1,,,1.072952894,,3.955063987,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,c,1,3,302.13,,1108.29,,,1.029147776,,3.775176873,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,d,1,1,260.94,,1336.55,,,0.888841958,,4.552700691,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,d,1,2,289.92,,1265.69,,,0.987556758,,4.31132972,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,d,1,3,314.98,,1251.81,,,1.072918831,,4.264050168,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,e,1,1,220.44,,1282.06,,,0.750886492,,4.367090979,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,e,1,2,290.18,,1284.91,,,0.988442398,,4.376798956,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,e,1,3,300.5,,1311.98,,,1.023595494,,4.469007708,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,f,1,1,262.35,,1448.5,,,0.893644852,,4.934036849,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,f,1,2,274.06,,1415.92,,,0.933532716,,4.823059341,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,f,1,3,263.92,,1448.81,,,0.898992755,,4.935092805,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,g,1,1,267.26,,1027.63,,,0.910369823,,3.500424085,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,g,1,2,293.81,,1071.14,,,1.000807295,,3.648632538,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,g,1,3,263.68,,1106.75,,,0.898175241,,3.769931159,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,h,1,1,271.31,,1259.46,,,0.924165369,,4.290108423,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,h,1,2,285.7,,1229.06,,,0.973182139,,4.186556666,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,h,1,3,197.03,,1224.52,,,0.671144826,,4.171092028,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,i,1,1,287.18,,1124.78,,,0.978223474,,3.831346888,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,i,1,2,207.39,,1253.89,,,0.706434175,,4.271135288,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,i,1,3,216.2,,1171.3,,,0.736443747,,3.989808327,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,j,1,1,264.6,,1221.21,,,0.901309044,,4.159817149,,,1,disc,,HEHE5_d,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,j,1,2,219.16,,1203.56,,,0.746526418,,4.099695817,,,1,disc,,HEHE5_d,,,
